집계일자,콘존ID,차로유형구분코드,교통량
20120601,1000CZE330,1,81315
20120601,1000CZE340,1,91790
20120601,1000CZE350,1,105179
20120601,1000CZE360,1,85827
20120601,1000CZE370,1,93391
20120601,1000CZE380,1,84744
20120601,1000CZE390,1,86749
20120601,1000CZS010,1,91075
20120601,1000CZS020,1,66225
20120601,1000CZS030,1,77929
20120601,1000CZS040,1,90707
20120601,1000CZS050,1,84903
20120601,1000CZS060,1,123677
20120601,1000CZS070,1,116542
20120601,1000CZS080,1,83934
20120601,1000CZS090,1,90822
20120601,1000CZS100,1,108751
20120601,1000CZS110,1,84143
20120601,1000CZS120,1,86664
20120601,1000CZS130,1,-1
20120601,1000CZS210,1,69816
20120601,1000CZS220,1,96975
20120601,1000CZS230,1,72945
20120601,1000CZS240,1,97097
20120601,1000CZS250,1,92284
20120601,1000CZS260,1,95947
20120601,1000CZS270,1,123177
20120601,1000CZS290,1,119131
20120601,1000CZS300,1,76364
20120601,1000CZS330,1,75757
20120601,1000CZS340,1,87707
20120601,1000CZS350,1,105119
20120601,1000CZS360,1,86591
20120601,1000CZS370,1,83761
20120601,1000CZS380,1,82586
20120601,1000CZS390,1,86539
20120601,1020CZE010,1,12309
20120601,1020CZE020,1,17183
20120601,1020CZE030,1,25851
20120601,1020CZE040,1,17833
20120601,1020CZE050,1,18854
20120601,1020CZS010,1,12646
20120601,1020CZS020,1,20224
20120601,1020CZS030,1,21357
20120601,1020CZS040,1,18020
